"sitio" "replica" "estrato" "microhabitat" "taxa" "body_mass" "gremio" "clase_tam" "Sistema" "Taxón" "Gremio"
"1103" "A" 3 "H" "H" "formicidae" 1079.93091265677 "predador" "macro" "Agrícola" "Formicidae" "Predador"
"1104" "R" 1 "10" "10" "enquitreido" 1076.74302040395 "detritivoro" "meso" "Reserva" "Enchytraeida" "Detritivoro"
"1105" "P" 2 "H" "H" "staphylinidae" 1075.94479725201 "predador" "macro" "Pastizal" "Staphylinidae" "Predador"
"1106" "R" 3 "10" "10" "pupa_diptera" 1073.0422195 "detritivoro" "macro" "Reserva" "Diptera pupa" "Detritivoro"
"1107" "A" 3 "H" "Frag" "enquitreido" 1071.64805640455 "detritivoro" "meso" "Agrícola" "Enchytraeida" "Detritivoro"
"1108" "P" 1 "H" "Hoja" "enquitreido" 1070.14829724848 "detritivoro" "meso" "Pastizal" "Enchytraeida" "Detritivoro"
"1109" "A" 1 "H" "Frag" "enquitreido" 1068.81254102713 "detritivoro" "meso" "Agrícola" "Enchytraeida" "Detritivoro"
"1110" "A" 1 "10" "10" "enquitreido" 1065.83541522402 "detritivoro" "meso" "Agrícola" "Enchytraeida" "Detritivoro"
"1111" "A" 2 "H" "humus" "enquitreido" 1064.42565569645 "detritivoro" "meso" "Agrícola" "Enchytraeida" "Detritivoro"
"1112" "P" 1 "H" "humus" "enquitreido" 1060.84212109289 "detritivoro" "meso" "Pastizal" "Enchytraeida" "Detritivoro"
"1113" "A" 2 "10" "10" "enquitreido" 1058.39691724271 "detritivoro" "meso" "Agrícola" "Enchytraeida" "Detritivoro"
"1114" "R" 3 "H" "humus" "enquitreido" 1057.35995699031 "detritivoro" "meso" "Reserva" "Enchytraeida" "Detritivoro"
"1115" "P" 3 "H" "humus" "tardigrado" 10.5538347397717 "omnivoro" "meso" "Pastizal" "Tardigrada" "Omnivoro"
"1116" "R" 1 "20" "20" "juvenil" 1050 "detritivoro" "macro" "Reserva" "Juvenil, lombriz" "Detritivoro"
"1117" "R" 1 "10" "10" "juvenil" 1050 "detritivoro" "macro" "Reserva" "Juvenil, lombriz" "Detritivoro"
"1118" "R" 1 "10" "10" "juvenil" 1050 "detritivoro" "macro" "Reserva" "Juvenil, lombriz" "Detritivoro"
"1119" "A" 1 "H" "Frag" "enquitreido" 1047.92827820804 "detritivoro" "meso" "Agrícola" "Enchytraeida" "Detritivoro"
"1120" "A" 3 "10" "10" "staphylinidae" 1046.68341028019 "predador" "macro" "Agrícola" "Staphylinidae" "Predador"
"1121" "P" 2 "H" "Frag" "larva_diptera" 1046.15347775849 "detritivoro" "macro" "Pastizal" "Diptera larva" "Detritivoro"
"1122" "A" 1 "H" "H" "enquitreido" 1044.41783698178 "detritivoro" "meso" "Agrícola" "Enchytraeida" "Detritivoro"
"1123" "P" 2 "H" "H" "staphylinidae" 1043.43609741189 "predador" "macro" "Pastizal" "Staphylinidae" "Predador"
"1124" "A" 1 "10" "10" "pupa_diptera" 1043.2769045 "detritivoro" "macro" "Agrícola" "Diptera pupa" "Detritivoro"
"1125" "R" 3 "H" "Frag" "enquitreido" 1042.55852143953 "detritivoro" "meso" "Reserva" "Enchytraeida" "Detritivoro"
"1126" "A" 1 "H" "Frag" "enquitreido" 1042.49990983283 "detritivoro" "meso" "Agrícola" "Enchytraeida" "Detritivoro"
"1127" "A" 1 "H" "Frag" "enquitreido" 1040.13995322726 "detritivoro" "meso" "Agrícola" "Enchytraeida" "Detritivoro"
"1128" "A" 1 "10" "10" "enquitreido" 1039.07148525152 "detritivoro" "meso" "Agrícola" "Enchytraeida" "Detritivoro"
"1129" "P" 2 "10" "10" "staphylinidae" 1034.15965923159 "predador" "macro" "Pastizal" "Staphylinidae" "Predador"
"1130" "P" 3 "H" "humus" "tardigrado" 10.3124204217313 "omnivoro" "meso" "Pastizal" "Tardigrada" "Omnivoro"
"1131" "R" 1 "H" "humus" "enquitreido" 1026.92926894638 "detritivoro" "meso" "Reserva" "Enchytraeida" "Detritivoro"
"1132" "P" 1 "10" "10" "enquitreido" 1024.74107829369 "detritivoro" "meso" "Pastizal" "Enchytraeida" "Detritivoro"
"1133" "A" 1 "H" "humus" "pupa_diptera" 1023.153544 "detritivoro" "macro" "Agrícola" "Diptera pupa" "Detritivoro"
"1134" "R" 3 "10" "10" "pupa_diptera" 1020.147061 "detritivoro" "macro" "Reserva" "Diptera pupa" "Detritivoro"
"1135" "R" 3 "H" "Hoja" "enquitreido" 1018.54444939203 "detritivoro" "meso" "Reserva" "Enchytraeida" "Detritivoro"
"1136" "P" 1 "H" "humus" "enquitreido" 1016.25286767607 "detritivoro" "meso" "Pastizal" "Enchytraeida" "Detritivoro"
"1137" "P" 1 "10" "10" "enquitreido" 1015.0897620937 "detritivoro" "meso" "Pastizal" "Enchytraeida" "Detritivoro"
"1138" "R" 1 "20" "20" "formicidae" 1014.57279884497 "predador" "macro" "Reserva" "Formicidae" "Predador"
"1139" "R" 1 "10" "10" "formicidae" 1014.57279884497 "predador" "macro" "Reserva" "Formicidae" "Predador"
"1140" "R" 1 "10" "10" "formicidae" 1014.57279884497 "predador" "macro" "Reserva" "Formicidae" "Predador"
"1141" "R" 1 "10" "10" "formicidae" 1014.57279884497 "predador" "macro" "Reserva" "Formicidae" "Predador"
"1142" "R" 1 "10" "10" "formicidae" 1014.57279884497 "predador" "macro" "Reserva" "Formicidae" "Predador"
"1143" "R" 1 "10" "10" "formicidae" 1014.57279884497 "predador" "macro" "Reserva" "Formicidae" "Predador"
"1144" "R" 1 "10" "10" "formicidae" 1014.57279884497 "predador" "macro" "Reserva" "Formicidae" "Predador"
"1145" "R" 1 "10" "10" "formicidae" 1014.57279884497 "predador" "macro" "Reserva" "Formicidae" "Predador"
"1146" "R" 1 "10" "10" "formicidae" 1014.57279884497 "predador" "macro" "Reserva" "Formicidae" "Predador"
"1147" "R" 1 "10" "10" "formicidae" 1014.57279884497 "predador" "macro" "Reserva" "Formicidae" "Predador"
"1148" "R" 1 "10" "10" "formicidae" 1014.57279884497 "predador" "macro" "Reserva" "Formicidae" "Predador"
"1149" "R" 1 "10" "10" "formicidae" 1014.57279884497 "predador" "macro" "Reserva" "Formicidae" "Predador"
"1150" "R" 1 "10" "10" "formicidae" 1014.57279884497 "predador" "macro" "Reserva" "Formicidae" "Predador"
"1151" "R" 1 "10" "10" "formicidae" 1014.57279884497 "predador" "macro" "Reserva" "Formicidae" "Predador"
"1152" "R" 1 "10" "10" "formicidae" 1014.57279884497 "predador" "macro" "Reserva" "Formicidae" "Predador"
"1153" "R" 1 "10" "10" "formicidae" 1014.57279884497 "predador" "macro" "Reserva" "Formicidae" "Predador"
"1154" "R" 1 "10" "10" "formicidae" 1014.57279884497 "predador" "macro" "Reserva" "Formicidae" "Predador"
"1155" "R" 1 "10" "10" "formicidae" 1014.57279884497 "predador" "macro" "Reserva" "Formicidae" "Predador"
"1156" "R" 1 "10" "10" "formicidae" 1014.57279884497 "predador" "macro" "Reserva" "Formicidae" "Predador"
"1157" "R" 1 "10" "10" "formicidae" 1014.57279884497 "predador" "macro" "Reserva" "Formicidae" "Predador"
"1158" "R" 1 "10" "10" "formicidae" 1014.57279884497 "predador" "macro" "Reserva" "Formicidae" "Predador"
"1159" "R" 1 "10" "10" "formicidae" 1014.57279884497 "predador" "macro" "Reserva" "Formicidae" "Predador"
"1160" "R" 1 "10" "10" "formicidae" 1014.57279884497 "predador" "macro" "Reserva" "Formicidae" "Predador"
"1161" "R" 1 "10" "10" "formicidae" 1014.57279884497 "predador" "macro" "Reserva" "Formicidae" "Predador"
"1162" "R" 1 "10" "10" "formicidae" 1014.57279884497 "predador" "macro" "Reserva" "Formicidae" "Predador"
"1163" "R" 1 "10" "10" "formicidae" 1014.57279884497 "predador" "macro" "Reserva" "Formicidae" "Predador"
"1164" "R" 1 "10" "10" "formicidae" 1014.57279884497 "predador" "macro" "Reserva" "Formicidae" "Predador"
"1165" "R" 1 "10" "10" "formicidae" 1014.57279884497 "predador" "macro" "Reserva" "Formicidae" "Predador"
"1166" "R" 1 "10" "10" "formicidae" 1014.57279884497 "predador" "macro" "Reserva" "Formicidae" "Predador"
"1167" "R" 1 "10" "10" "formicidae" 1014.57279884497 "predador" "macro" "Reserva" "Formicidae" "Predador"
"1168" "R" 1 "10" "10" "formicidae" 1014.57279884497 "predador" "macro" "Reserva" "Formicidae" "Predador"
"1169" "R" 1 "10" "10" "formicidae" 1014.57279884497 "predador" "macro" "Reserva" "Formicidae" "Predador"
"1170" "R" 1 "10" "10" "formicidae" 1014.57279884497 "predador" "macro" "Reserva" "Formicidae" "Predador"
"1171" "R" 1 "10" "10" "formicidae" 1014.57279884497 "predador" "macro" "Reserva" "Formicidae" "Predador"
"1172" "R" 1 "10" "10" "formicidae" 1014.57279884497 "predador" "macro" "Reserva" "Formicidae" "Predador"
"1173" "R" 1 "10" "10" "formicidae" 1014.57279884497 "predador" "macro" "Reserva" "Formicidae" "Predador"
"1174" "R" 3 "H" "humus" "enquitreido" 1013.00208943588 "detritivoro" "meso" "Reserva" "Enchytraeida" "Detritivoro"
"1175" "R" 3 "H" "Frag" "enquitreido" 1009.77496805256 "detritivoro" "meso" "Reserva" "Enchytraeida" "Detritivoro"
"1176" "R" 1 "20" "20" "formicidae" 1009.06274273547 "predador" "macro" "Reserva" "Formicidae" "Predador"
"1177" "A" 1 "H" "Frag" "enquitreido" 1008.07794901869 "detritivoro" "meso" "Agrícola" "Enchytraeida" "Detritivoro"
"1178" "R" 1 "H" "humus" "tardigrado" 10.0801463660232 "omnivoro" "meso" "Reserva" "Tardigrada" "Omnivoro"
"1179" "A" 1 "H" "Frag" "larva_diptera" 1004.49531051061 "detritivoro" "macro" "Agrícola" "Diptera larva" "Detritivoro"
"1180" "R" 3 "H" "Frag" "enquitreido" 1002.40440737927 "detritivoro" "meso" "Reserva" "Enchytraeida" "Detritivoro"
"1181" "P" 3 "H" "humus" "tardigrado" 10.0036879466828 "omnivoro" "meso" "Pastizal" "Tardigrada" "Omnivoro"
"1182" "A" 1 "10" "10" "enquitreido" 996.737786215357 "detritivoro" "meso" "Agrícola" "Enchytraeida" "Detritivoro"
"1183" "R" 2 "H" "Frag" "enquitreido" 990.454678883799 "detritivoro" "meso" "Reserva" "Enchytraeida" "Detritivoro"
"1184" "A" 1 "H" "humus" "enquitreido" 987.414797005937 "detritivoro" "meso" "Agrícola" "Enchytraeida" "Detritivoro"
"1185" "A" 2 "H" "Frag" "pupa_diptera" 982.8202065 "detritivoro" "macro" "Agrícola" "Diptera pupa" "Detritivoro"
"1186" "P" 3 "H" "hoja" "tardigrado" 9.80478680754083 "omnivoro" "meso" "Pastizal" "Tardigrada" "Omnivoro"
"1187" "A" 1 "10" "10" "enquitreido" 974.328058696538 "detritivoro" "meso" "Agrícola" "Enchytraeida" "Detritivoro"
"1188" "P" 1 "H" "humus" "enquitreido" 971.897719226823 "detritivoro" "meso" "Pastizal" "Enchytraeida" "Detritivoro"
"1189" "R" 3 "H" "Hoja" "larva_sciaridae" 970.837749868342 "microfitofago" "macro" "Reserva" "Sciaridae larva" "Microfitofago"
"1190" "A" 1 "10" "10" "enquitreido" 968.615208682255 "detritivoro" "meso" "Agrícola" "Enchytraeida" "Detritivoro"
"1191" "R" 3 "H" "Frag" "enquitreido" 968.574620348548 "detritivoro" "meso" "Reserva" "Enchytraeida" "Detritivoro"
"1192" "R" 1 "H" "humus" "enquitreido" 967.493430694687 "detritivoro" "meso" "Reserva" "Enchytraeida" "Detritivoro"
"1193" "A" 1 "10" "10" "enquitreido" 964.264821001082 "detritivoro" "meso" "Agrícola" "Enchytraeida" "Detritivoro"
"1194" "A" 1 "H" "humus" "enquitreido" 955.493310647483 "detritivoro" "meso" "Agrícola" "Enchytraeida" "Detritivoro"
"1195" "A" 2 "10" "10" "enquitreido" 953.856960972125 "detritivoro" "meso" "Agrícola" "Enchytraeida" "Detritivoro"
"1196" "P" 1 "10" "10" "enquitreido" 952.470001420009 "detritivoro" "meso" "Pastizal" "Enchytraeida" "Detritivoro"
"1197" "A" 1 "H" "Hoja" "enquitreido" 950.031723368302 "detritivoro" "meso" "Agrícola" "Enchytraeida" "Detritivoro"
"1198" "P" 1 "10" "10" "staphylinidae" 946.792586560847 "predador" "macro" "Pastizal" "Staphylinidae" "Predador"
"1199" "A" 1 "H" "humus" "pupa_diptera" 945.3015005 "detritivoro" "macro" "Agrícola" "Diptera pupa" "Detritivoro"
"1200" "R" 3 "H" "Hoja" "enquitreido" 942.288548388996 "detritivoro" "meso" "Reserva" "Enchytraeida" "Detritivoro"
"1201" "P" 2 "10" "10" "formicidae" 940.939135982332 "predador" "macro" "Pastizal" "Formicidae" "Predador"
"1202" "P" 1 "10" "10" "enquitreido" 935.771222313488 "detritivoro" "meso" "Pastizal" "Enchytraeida" "Detritivoro"
"1203" "A" 2 "H" "humus" "enquitreido" 933.940012945317 "detritivoro" "meso" "Agrícola" "Enchytraeida" "Detritivoro"
"1204" "P" 1 "H" "Frag" "cicadidae" 933.784840716083 "herbivoro" "macro" "Pastizal" "Cicadidae" "Herbivoro"
"1205" "A" 3 "H" "Frag" "carabidae" 932.362081217827 "predador" "macro" "Agrícola" "Carabidae" "Predador"
"1206" "R" 1 "H" "humus" "enquitreido" 932.245390484252 "detritivoro" "meso" "Reserva" "Enchytraeida" "Detritivoro"
"1207" "P" 3 "H" "humus" "larva_diptera" 930.931203087333 "detritivoro" "macro" "Pastizal" "Diptera larva" "Detritivoro"
"1208" "R" 3 "H" "humus" "enquitreido" 927.191371376902 "detritivoro" "meso" "Reserva" "Enchytraeida" "Detritivoro"
"1209" "R" 3 "H" "Frag" "enquitreido" 927.136032303335 "detritivoro" "meso" "Reserva" "Enchytraeida" "Detritivoro"
"1210" "A" 1 "H" "humus" "pupa_diptera" 925.828978 "detritivoro" "macro" "Agrícola" "Diptera pupa" "Detritivoro"
"1211" "A" 1 "H" "humus" "pupa_diptera" 924.193788 "detritivoro" "macro" "Agrícola" "Diptera pupa" "Detritivoro"
"1212" "P" 1 "H" "H" "trogossitidae" 924.136933004054 "predador" "macro" "Pastizal" "Trogossitidae" "Predador"
"1213" "P" 1 "H" "humus" "enquitreido" 922.067321179411 "detritivoro" "meso" "Pastizal" "Enchytraeida" "Detritivoro"
"1214" "P" 3 "H" "humus" "tardigrado" 9.17840607483448 "omnivoro" "meso" "Pastizal" "Tardigrada" "Omnivoro"
"1215" "R" 3 "H" "Frag" "enquitreido" 916.862437085761 "detritivoro" "meso" "Reserva" "Enchytraeida" "Detritivoro"
"1216" "R" 1 "H" "humus" "enquitreido" 914.526260799288 "detritivoro" "meso" "Reserva" "Enchytraeida" "Detritivoro"
"1217" "A" 1 "10" "10" "enquitreido" 907.753164136237 "detritivoro" "meso" "Agrícola" "Enchytraeida" "Detritivoro"
"1218" "A" 1 "10" "10" "enquitreido" 906.113845679425 "detritivoro" "meso" "Agrícola" "Enchytraeida" "Detritivoro"
"1219" "A" 1 "10" "10" "enquitreido" 905.574850877581 "detritivoro" "meso" "Agrícola" "Enchytraeida" "Detritivoro"
"1220" "R" 1 "20" "20" "juvenil" 900 "detritivoro" "macro" "Reserva" "Juvenil, lombriz" "Detritivoro"
"1221" "R" 1 "10" "10" "juvenil" 900 "detritivoro" "macro" "Reserva" "Juvenil, lombriz" "Detritivoro"
"1222" "R" 3 "H" "humus" "enquitreido" 898.505483076485 "detritivoro" "meso" "Reserva" "Enchytraeida" "Detritivoro"
"1223" "P" 1 "10" "10" "ichtyostomatogasteridae" 895.257699422101 "predador" "meso" "Pastizal" "Ichtyostomatogasteridae" "Predador"
"1224" "A" 2 "H" "Frag" "pupa_diptera" 892.4767685 "detritivoro" "macro" "Agrícola" "Diptera pupa" "Detritivoro"
"1225" "P" 1 "H" "humus" "enquitreido" 891.07070178728 "detritivoro" "meso" "Pastizal" "Enchytraeida" "Detritivoro"
"1226" "A" 1 "H" "Frag" "larva_diptera" 889.176627797194 "detritivoro" "macro" "Agrícola" "Diptera larva" "Detritivoro"
"1227" "R" 3 "H" "humus" "enquitreido" 888.213760713967 "detritivoro" "meso" "Reserva" "Enchytraeida" "Detritivoro"
"1228" "A" 2 "H" "Frag" "pupa_diptera" 885.295694 "detritivoro" "macro" "Agrícola" "Diptera pupa" "Detritivoro"
"1229" "A" 1 "10" "10" "enquitreido" 884.557804732561 "detritivoro" "meso" "Agrícola" "Enchytraeida" "Detritivoro"
"1230" "A" 1 "H" "Frag" "enquitreido" 883.238393837422 "detritivoro" "meso" "Agrícola" "Enchytraeida" "Detritivoro"
"1231" "A" 1 "H" "H" "staphylinidae" 879.177638216245 "predador" "macro" "Agrícola" "Staphylinidae" "Predador"
"1232" "R" 3 "H" "humus" "enquitreido" 874.801250662502 "detritivoro" "meso" "Reserva" "Enchytraeida" "Detritivoro"
"1233" "R" 3 "H" "humus" "enquitreido" 873.309483317879 "detritivoro" "meso" "Reserva" "Enchytraeida" "Detritivoro"
"1234" "A" 1 "10" "10" "enquitreido" 868.599710430371 "detritivoro" "meso" "Agrícola" "Enchytraeida" "Detritivoro"
"1235" "R" 3 "10" "10" "enquitreido" 868.570722223017 "detritivoro" "meso" "Reserva" "Enchytraeida" "Detritivoro"
"1236" "A" 3 "10" "10" "enquitreido" 867.617125137534 "detritivoro" "meso" "Agrícola" "Enchytraeida" "Detritivoro"
"1237" "P" 3 "H" "H" "trogossitidae" 865.600402249675 "predador" "macro" "Pastizal" "Trogossitidae" "Predador"
"1238" "R" 1 "H" "humus" "enquitreido" 862.223111017301 "detritivoro" "meso" "Reserva" "Enchytraeida" "Detritivoro"
"1239" "R" 1 "20" "20" "formicidae" 860.624726740821 "predador" "macro" "Reserva" "Formicidae" "Predador"
"1240" "A" 2 "H" "humus" "enquitreido" 858.966322389925 "detritivoro" "meso" "Agrícola" "Enchytraeida" "Detritivoro"
"1241" "R" 2 "20" "20" "formicidae" 855.914176765206 "predador" "macro" "Reserva" "Formicidae" "Predador"
"1242" "R" 3 "H" "humus" "enquitreido" 855.727104181804 "detritivoro" "meso" "Reserva" "Enchytraeida" "Detritivoro"
"1243" "R" 3 "H" "humus" "enquitreido" 853.219079601868 "detritivoro" "meso" "Reserva" "Enchytraeida" "Detritivoro"
"1244" "P" 1 "H" "Frag" "cicadidae" 851.442425692542 "herbivoro" "macro" "Pastizal" "Cicadidae" "Herbivoro"
"1245" "R" 1 "H" "Hoja" "enquitreido" 850.120909198854 "detritivoro" "meso" "Reserva" "Enchytraeida" "Detritivoro"
"1246" "A" 3 "H" "H" "staphylinidae" 850.031587648647 "predador" "macro" "Agrícola" "Staphylinidae" "Predador"
"1247" "A" 3 "10" "10" "pupa_diptera" 845.769428 "detritivoro" "macro" "Agrícola" "Diptera pupa" "Detritivoro"
"1248" "A" 1 "10" "10" "enquitreido" 844.315018498845 "detritivoro" "meso" "Agrícola" "Enchytraeida" "Detritivoro"
"1249" "P" 3 "H" "humus" "tardigrado" 8.41339227616643 "omnivoro" "meso" "Pastizal" "Tardigrada" "Omnivoro"
"1250" "A" 3 "10" "10" "staphylinidae" 840.404666463249 "predador" "macro" "Agrícola" "Staphylinidae" "Predador"
"1251" "R" 2 "H" "Hoja" "enquitreido" 838.088854641108 "detritivoro" "meso" "Reserva" "Enchytraeida" "Detritivoro"
"1252" "P" 2 "H" "H" "staphylinidae" 835.11421876135 "predador" "macro" "Pastizal" "Staphylinidae" "Predador"
"1253" "R" 1 "H" "Hoja" "enquitreido" 834.810934872875 "detritivoro" "meso" "Reserva" "Enchytraeida" "Detritivoro"
"1254" "A" 1 "10" "10" "enquitreido" 834.089850901842 "detritivoro" "meso" "Agrícola" "Enchytraeida" "Detritivoro"
"1255" "R" 3 "H" "H" "pseudoscorpionida" 832.55375895074 "predador" "macro" "Reserva" "Pseudoscorpionida" "Predador"
"1256" "A" 2 "H" "humus" "enquitreido" 831.743192313651 "detritivoro" "meso" "Agrícola" "Enchytraeida" "Detritivoro"
"1257" "A" 3 "H" "Frag" "staphylinidae" 830.865608149033 "predador" "macro" "Agrícola" "Staphylinidae" "Predador"
"1258" "R" 1 "10" "10" "enquitreido" 828.235648772747 "detritivoro" "meso" "Reserva" "Enchytraeida" "Detritivoro"
"1259" "P" 1 "H" "humus" "enquitreido" 827.488846096295 "detritivoro" "meso" "Pastizal" "Enchytraeida" "Detritivoro"
"1260" "R" 1 "H" "Hoja" "enquitreido" 825.968863974662 "detritivoro" "meso" "Reserva" "Enchytraeida" "Detritivoro"
"1261" "A" 2 "H" "humus" "enquitreido" 823.140439698843 "detritivoro" "meso" "Agrícola" "Enchytraeida" "Detritivoro"
"1262" "A" 2 "10" "10" "enquitreido" 818.16964451039 "detritivoro" "meso" "Agrícola" "Enchytraeida" "Detritivoro"
"1263" "A" 3 "10" "10" "enquitreido" 817.816143404614 "detritivoro" "meso" "Agrícola" "Enchytraeida" "Detritivoro"
"1264" "A" 1 "H" "H" "afido" 807.2086147867 "herbivoro" "macro" "Agrícola" "Aphidoidea" "Herbivoro"
"1265" "R" 1 "H" "Hoja" "enquitreido" 805.803439945565 "detritivoro" "meso" "Reserva" "Enchytraeida" "Detritivoro"
"1266" "A" 3 "H" "Frag" "carabidae" 805.409940155361 "predador" "macro" "Agrícola" "Carabidae" "Predador"
"1267" "A" 3 "H" "humus" "pupa_diptera" 805.0200075 "detritivoro" "macro" "Agrícola" "Diptera pupa" "Detritivoro"
"1268" "R" 3 "H" "humus" "enquitreido" 805.018915428139 "detritivoro" "meso" "Reserva" "Enchytraeida" "Detritivoro"
"1269" "R" 3 "H" "Frag" "enquitreido" 804.368578316167 "detritivoro" "meso" "Reserva" "Enchytraeida" "Detritivoro"
"1270" "P" 1 "H" "humus" "enquitreido" 802.603945662951 "detritivoro" "meso" "Pastizal" "Enchytraeida" "Detritivoro"
"1271" "A" 1 "10" "10" "enquitreido" 801.650634684527 "detritivoro" "meso" "Agrícola" "Enchytraeida" "Detritivoro"
"1272" "P" 3 "20" "20" "blattodea" 800 "detritivoro" "macro" "Pastizal" "Blattodea" "Detritivoro"
"1273" "P" 1 "10" "10" "carabidae" 800 "predador" "macro" "Pastizal" "Carabidae" "Predador"
"1274" "P" 1 "10" "10" "carabidae" 800 "predador" "macro" "Pastizal" "Carabidae" "Predador"
"1275" "R" 1 "20" "20" "larva_carabidae" 800 "predador" "macro" "Reserva" "Carabidae, larva" "Predador"
"1276" "R" 2 "H" "H" "larva_elateridae" 800 "microfitofago" "macro" "Reserva" "Elateridae larva" "Microfitofago"
"1277" "R" 2 "H" "H" "larva_elateridae" 800 "microfitofago" "macro" "Reserva" "Elateridae larva" "Microfitofago"
"1278" "A" 3 "H" "H" "lycosidae" 800 "predador" "macro" "Agrícola" "Lycosidae" "Predador"
"1279" "P" 1 "10" "10" "staphylinidae" 800 "predador" "macro" "Pastizal" "Staphylinidae" "Predador"
"1280" "P" 1 "H" "H" "tarsonemidae" 800 "omnivoro" "meso" "Pastizal" "Tarsonemidae" "Omnivoro"
"1281" "A" 1 "10" "10" "staphylinidae" 799.573416499587 "predador" "macro" "Agrícola" "Staphylinidae" "Predador"
"1282" "R" 3 "H" "humus" "enquitreido" 798.213358199561 "detritivoro" "meso" "Reserva" "Enchytraeida" "Detritivoro"
"1283" "A" 1 "10" "10" "staphylinidae" 795.686898509533 "predador" "macro" "Agrícola" "Staphylinidae" "Predador"
"1284" "R" 1 "H" "humus" "enquitreido" 793.674671940856 "detritivoro" "meso" "Reserva" "Enchytraeida" "Detritivoro"
"1285" "P" 1 "H" "humus" "enquitreido" 792.34076980057 "detritivoro" "meso" "Pastizal" "Enchytraeida" "Detritivoro"
"1286" "A" 1 "10" "10" "enquitreido" 790.920517490567 "detritivoro" "meso" "Agrícola" "Enchytraeida" "Detritivoro"
"1287" "A" 3 "H" "humus" "pupa_diptera" 788.131409 "detritivoro" "macro" "Agrícola" "Diptera pupa" "Detritivoro"
"1288" "A" 3 "H" "Frag" "enquitreido" 787.342823990439 "detritivoro" "meso" "Agrícola" "Enchytraeida" "Detritivoro"
"1289" "R" 3 "10" "10" "enquitreido" 780.524944412915 "detritivoro" "meso" "Reserva" "Enchytraeida" "Detritivoro"
"1290" "R" 3 "H" "humus" "enquitreido" 780.086182057746 "detritivoro" "meso" "Reserva" "Enchytraeida" "Detritivoro"
"1291" "R" 3 "H" "humus" "enquitreido" 777.764866740411 "detritivoro" "meso" "Reserva" "Enchytraeida" "Detritivoro"
"1292" "A" 2 "H" "humus" "enquitreido" 776.564826919876 "detritivoro" "meso" "Agrícola" "Enchytraeida" "Detritivoro"
"1293" "A" 1 "10" "10" "enquitreido" 773.829497145268 "detritivoro" "meso" "Agrícola" "Enchytraeida" "Detritivoro"
"1294" "P" 1 "H" "humus" "tardigrado" 7.72397994980921 "omnivoro" "meso" "Pastizal" "Tardigrada" "Omnivoro"
"1295" "A" 1 "10" "10" "enquitreido" 769.928528131296 "detritivoro" "meso" "Agrícola" "Enchytraeida" "Detritivoro"
"1296" "R" 1 "H" "Hoja" "enquitreido" 767.076124181569 "detritivoro" "meso" "Reserva" "Enchytraeida" "Detritivoro"
"1297" "A" 2 "H" "humus" "enquitreido" 766.645545687201 "detritivoro" "meso" "Agrícola" "Enchytraeida" "Detritivoro"
"1298" "A" 1 "10" "10" "enquitreido" 764.862885157188 "detritivoro" "meso" "Agrícola" "Enchytraeida" "Detritivoro"
"1299" "A" 3 "H" "humus" "pupa_diptera" 764.706098 "detritivoro" "macro" "Agrícola" "Diptera pupa" "Detritivoro"
"1300" "R" 3 "H" "humus" "enquitreido" 760.520494782186 "detritivoro" "meso" "Reserva" "Enchytraeida" "Detritivoro"
"1301" "A" 2 "10" "10" "enquitreido" 758.532191408702 "detritivoro" "meso" "Agrícola" "Enchytraeida" "Detritivoro"
"1302" "A" 3 "H" "Hoja" "formicidae" 757.325004120951 "predador" "macro" "Agrícola" "Formicidae" "Predador"
"1303" "R" 1 "H" "humus" "enquitreido" 755.147959388257 "detritivoro" "meso" "Reserva" "Enchytraeida" "Detritivoro"
"1304" "A" 1 "10" "10" "enquitreido" 751.077517659717 "detritivoro" "meso" "Agrícola" "Enchytraeida" "Detritivoro"
"1305" "R" 1 "H" "humus" "enquitreido" 749.525047385024 "detritivoro" "meso" "Reserva" "Enchytraeida" "Detritivoro"
"1306" "R" 1 "H" "humus" "enquitreido" 747.703802959051 "detritivoro" "meso" "Reserva" "Enchytraeida" "Detritivoro"
"1307" "R" 2 "10" "10" "enquitreido" 746.592210028167 "detritivoro" "meso" "Reserva" "Enchytraeida" "Detritivoro"
"1308" "A" 1 "10" "10" "formicidae" 742.398991907187 "predador" "macro" "Agrícola" "Formicidae" "Predador"
"1309" "R" 3 "H" "humus" "enquitreido" 741.455041303346 "detritivoro" "meso" "Reserva" "Enchytraeida" "Detritivoro"
"1310" "R" 3 "H" "Hoja" "enquitreido" 741.443027178888 "detritivoro" "meso" "Reserva" "Enchytraeida" "Detritivoro"
"1311" "R" 3 "H" "Hoja" "enquitreido" 732.417973797817 "detritivoro" "meso" "Reserva" "Enchytraeida" "Detritivoro"
"1312" "R" 1 "H" "humus" "enquitreido" 732.320022350165 "detritivoro" "meso" "Reserva" "Enchytraeida" "Detritivoro"
"1313" "R" 1 "H" "Hoja" "enquitreido" 728.771222231252 "detritivoro" "meso" "Reserva" "Enchytraeida" "Detritivoro"
"1314" "R" 3 "H" "humus" "enquitreido" 724.972854850476 "detritivoro" "meso" "Reserva" "Enchytraeida" "Detritivoro"
"1315" "R" 3 "20" "20" "formicidae" 724.653207475769 "predador" "macro" "Reserva" "Formicidae" "Predador"
"1316" "R" 3 "H" "humus" "enquitreido" 723.337251674247 "detritivoro" "meso" "Reserva" "Enchytraeida" "Detritivoro"
